product_code,product_name,category,unit_price,is_active
P009995,MediumVioletRed Consectetur,Electronics,18575.72,True
P008980,Crimson Ratione,Beauty,21858.41,True
P012879,,Beauty,7355.86,True
P011689,FloralWhite Quos,Fashion,17148.35,True
P001005,SandyBrown Rem,Toys,24338.45,True
P003176,Brown Iste,Fashion,20734.39,True
P002735,SaddleBrown Hic,Beauty,1210.42,True
P005424,SeaGreen Facere,Electronics,16121.88,True
P005644,DarkCyan Ipsa,Home,2891.74,True
P004181,DarkViolet Asperiores,Home,15236.57,True
P014328,Exploit Revolutionary Users,Electronics,FREE,True
P008726,LawnGreen Repellat,Beauty,12141.69,True
P013000,,Grocery,10766.17,True
P009724,SlateBlue Id,Electronics,6953.19,True
P006921,MediumBlue Maiores,Books,21158.94,True
P014865,,Electronics,3999.14,True
P012184,Engineer B2C Functionalities,Sports,FREE,True
P010647,DarkSalmon Alias,Sports,10906.7,True
P006711,DarkOrchid Illo,Toys,18512.84,True
P013972,,Home,6698.95,True
P002548,Strategize B2C Portals,Sports,3671.71,True
P002555,LavenderBlush Porro,Fashion,19498.13,True
P001068,MediumTurquoise Ipsa,Grocery,19246.0,True
P002640,Innovate Extensible Supply-Chains,Sports,299.95,True
P002390,Chocolate Quas,Electronics,18752.17,True
P002245,MintCream Cum,Sports,3921.21,True
P010806,MediumOrchid Itaque,Books,10321.73,True
P011163,DarkSlateGray Saepe,Toys,23068.62,True
P013251,Enhance Dot-Com Infrastructures,Books,FREE,True
P003582,Transition Enterprise Roi,Sports,6668.06,True
P009277,OldLace Nulla,Home,5261.97,True
P000916,LightSeaGreen Nihil,Beauty,369.81,True
P005592,Gold Commodi,Books,8574.79,True
P000648,MediumSeaGreen Quibusdam,Beauty,19415.86,True
P011727,Thistle Necessitatibus,Books,17761.08,True
P013623,,Home,5087.68,True
P011857,MistyRose Doloribus,Home,18115.78,True
P011213,DarkKhaki Ex,Books,9124.88,True
P000049,DarkOliveGreen Incidunt,Home,8496.16,True
P001923,LightPink Animi,Toys,15714.95,True
P004725,DarkGray Delectus,Toys,1130.77,True
P012475,Architect 24/365 Methodologies,Toys,-862.2553035959613,True
P011892,PaleTurquoise Quas,Grocery,6128.22,True
P001844,Black Ea,Books,19589.24,True
P004939,IndianRed Amet,Grocery,22528.09,True
P003432,Blue Provident,Fashion,5869.28,True
P003583,Orange Harum,Books,2541.67,True
P007294,LightSkyBlue Laboriosam,Grocery,11516.87,True
P012923,,Beauty,11947.33,True
P010429,HoneyDew Harum,Beauty,21668.64,True
P006917,OldLace Nesciunt,Home,19595.89,True
P001851,Gainsboro Soluta,Fashion,4324.57,True
P007902,AliceBlue Unde,Grocery,11713.31,True
P012214,,Beauty,18112.15,True
P010714,LightSalmon Vel,Home,9430.99,True
P001882,Benchmark Front-End Models,Books,16275.23,True
P010080,DarkMagenta Et,Grocery,10507.51,True
P003853,RoyalBlue Excepturi,Home,7627.67,True
P013960,,Toys,6643.94,True
P006337,LightYellow Tempora,Toys,14144.98,True
P002337,Enable E-Business Content,Beauty,7689.28,True
P006556,DarkSlateBlue Quasi,Sports,8270.23,True
P000245,DarkSeaGreen Nam,Home,13383.99,True
P002629,Engineer Impactful Portals,Beauty,17153.07,True
P010099,DarkKhaki Veniam,Grocery,84.62,True
P001688,Silver Harum,Home,22803.22,True
P005136,MediumSpringGreen Consequatur,Grocery,4733.56,True
P010840,Incubate Seamless Markets,,2152.98,True
P002366,Navy Odit,Home,10063.96,True
P008493,Aquamarine Soluta,Home,18918.36,True
P003530,LimeGreen Quis,Books,10970.58,True
P001022,Khaki Cum,Books,10221.41,True
P005448,MediumSpringGreen Doloribus,Toys,1784.52,True
P013114,,Electronics,9904.33,True
P010958,Ivory Eligendi,Toys,21821.04,True
P006560,Violet Eum,Books,2807.29,True
P003065,PapayaWhip Eos,Fashion,7379.22,True
P011290,DarkSalmon Voluptates,Books,12900.04,True
P012838,Extend Cross-Platform Relationships,Toys,FREE,True
P010393,Azure Optio,Toys,9570.21,True
P005345,ForestGreen Beatae,Sports,4958.8,True
P014160,Evolve Enterprise Models,Sports,FREE,True
P004971,Lime Aliquid,Toys,23354.46,True
P000527,Facilitate Extensible Functionalities,Books,3562.85,True
P000436,MediumAquaMarine Consequuntur,Grocery,14960.48,True
P001035,SeaShell Nobis,Books,19395.78,True
P007746,Plum Aliquid,Books,10628.57,True
P001776,HotPink Blanditiis,Toys,10023.12,True
P006728,Navy Ratione,Electronics,10263.25,True
P005447,MediumBlue Dolor,Books,10379.88,True
P006438,DarkGray Sunt,Electronics,21845.36,True
P010127,BlueViolet Ipsum,Grocery,24581.63,True
P010973,MediumSeaGreen Sapiente,Toys,19319.65,True
P006534,DarkTurquoise Tenetur,Electronics,3470.82,True
P002346,DarkSalmon Distinctio,Electronics,19204.89,True
P005051,BlanchedAlmond Explicabo,Electronics,17772.78,True
P004812,Turquoise At,Beauty,5859.61,True
P014724,Implement Ubiquitous Relationships,Sports,-575.9823322045645,True
P014245,,Beauty,7168.16,True
P012114,,Fashion,24259.57,True
P010039,Blue Asperiores,Sports,15835.62,True
P000590,Indigo Ab,Electronics,13200.92,True
P009631,LightGray Culpa,Toys,5473.88,True
P002307,LavenderBlush Voluptas,Fashion,20896.6,True
P012721,Synthesize End-To-End Applications,Home,FREE,True
P010058,PaleTurquoise Veritatis,Fashion,2236.53,True
P009613,Orange Commodi,Beauty,16559.98,True
P005829,BlanchedAlmond Labore,Home,22674.46,True
P010452,LightGray Dolore,Fashion,3185.69,True
P002085,Sienna Fugiat,Beauty,1954.45,True
P008345,DarkBlue Ullam,Toys,10803.9,True
P007612,Black Inventore,Beauty,20844.59,True
P004888,LightYellow Iste,Books,8549.73,True
P001568,SandyBrown At,Home,16737.57,True
P012996,Synthesize Virtual Supply-Chains,Fashion,-655.8612629260119,True
P014325,,Electronics,5648.43,True
P003723,PaleTurquoise Minima,Grocery,11374.33,True
P003413,Navy Amet,Books,7283.05,True
P010397,Thistle Illum,Beauty,19128.88,True
P010952,MediumSpringGreen Consectetur,Grocery,9059.35,True
P001251,SpringGreen Ea,Fashion,23457.81,True
P004835,Crimson Quas,Fashion,14187.19,True
P008746,Lavender Quae,Beauty,18070.3,True
P008466,DarkBlue Neque,Electronics,14932.43,True
P010454,Cornsilk Facilis,Sports,18172.71,True
P007978,YellowGreen Optio,Toys,3146.12,True
P001753,LightPink Nam,Toys,13639.24,True
P004537,Navy Deserunt,Home,20625.06,True
P012132,Strategize Frictionless Mindshare,,FREE,True
P008282,Linen Numquam,Fashion,11565.05,True
P003394,Beige Mollitia,Electronics,1418.37,True
P003435,Fuchsia Tenetur,Sports,1887.71,True
P004862,MediumVioletRed Culpa,Books,6885.06,True
P001381,SkyBlue Ad,Toys,2673.91,True
P009765,Crimson Minima,Grocery,17387.7,True
P008822,Re-Contextualize Compelling Partnerships,,2526.07,True
P007857,Cyan Quidem,Beauty,16159.29,True
P005968,GoldenRod Eveniet,Home,9582.97,True
P005799,Yellow Possimus,Home,9660.37,True
P011390,DeepSkyBlue Asperiores,Home,12621.93,True
P002780,LightGreen Molestias,Books,15758.59,True
P003648,OldLace Accusantium,Home,5961.57,True
P001791,GoldenRod Aliquid,Beauty,3255.91,True
P005891,DarkMagenta Ex,Home,21011.02,True
P001874,Deliver Best-Of-Breed Technologies,Electronics,12332.82,True
P002334,LightGreen Possimus,Sports,14525.06,True
P011914,Indigo Dignissimos,Beauty,11756.29,True
P008304,IndianRed Inventore,Toys,17474.93,True
P007940,LawnGreen Ullam,Toys,2463.19,True
P013060,Envisioneer Rich Interfaces,Grocery,FREE,True
P003923,Tan Quidem,Toys,24070.98,True
P003360,DarkSlateBlue Aut,Books,2193.9,True
P007092,SandyBrown Saepe,Grocery,16580.47,True
P006989,Violet Dignissimos,Home,14450.21,True
P013716,Generate Virtual Initiatives,Sports,-920.5177069679887,True
P003882,PaleGreen Possimus,Electronics,311.13,True
P005328,Chartreuse Omnis,Home,15538.9,True
P002947,Orchid Necessitatibus,Beauty,24798.86,True
P010072,SeaShell Dolor,Fashion,16431.22,True
P003062,Brown Quam,Electronics,18738.2,True
P000378,ForestGreen Provident,Fashion,6196.84,True
P006019,BlanchedAlmond Dignissimos,Books,9591.21,True
P009313,Peru Assumenda,Toys,12938.12,True
P011448,Cyan Consequuntur,Toys,963.46,True
P005750,PaleGreen Unde,Fashion,4129.43,True
P014457,Strategize Innovative E-Tailers,Books,-327.45464557360543,True
P006163,PaleGreen Expedita,Grocery,10626.38,True
P000371,Plum Adipisci,Books,23834.01,True
P009078,MintCream Nemo,Beauty,1474.23,True
P011140,DarkKhaki Quod,Toys,4267.71,True
P010708,PaleTurquoise Maxime,Sports,22398.61,True
P000568,Maroon Molestiae,Grocery,21432.6,True
P002157,MediumAquaMarine Ipsa,Home,7501.55,True
P003469,NavajoWhite Fugit,Books,21656.19,True
P001265,LawnGreen Dolorum,Books,22425.04,True
P006160,YellowGreen A,Home,16051.63,True
P007892,Aqua Suscipit,Electronics,16318.96,True
P000699,White Nam,Electronics,7436.0,True
P014552,Incubate Enterprise Models,,-148.52691377786522,True
P001990,Thistle Hic,Toys,6676.55,True
P013700,Maximize Intuitive Mindshare,Sports,-692.3105406145283,True
P010671,DarkGoldenRod Facilis,Fashion,6118.89,True
P009913,Gainsboro Aut,Home,14533.43,True
P004991,FireBrick Nihil,Beauty,23953.04,True
P014113,Utilize B2C Applications,Beauty,FREE,True
P007862,MediumVioletRed Consequatur,Fashion,5171.23,True
P006351,LightSteelBlue Ipsam,Fashion,472.54,True
P005480,MediumSpringGreen Eius,Home,12856.29,True
P000521,Cornsilk Rerum,Beauty,16421.88,True
P002983,FireBrick Optio,Home,20128.89,True
P000985,NavajoWhite Voluptates,Grocery,23610.27,True
P003129,Plum Doloribus,Beauty,12272.84,True
P005575,Khaki Occaecati,Sports,15182.27,True
P012786,,Electronics,3931.89,True
P001494,LightSeaGreen Quia,Electronics,7944.32,True
P004225,Architect Bricks-And-Clicks E-Commerce,Electronics,14166.91,True
P013174,Enable Customized Content,,-556.0845714762374,True
P011933,PaleTurquoise Ex,Grocery,6435.62,True
P006218,Crimson Consequatur,Beauty,9858.66,True
P009451,DimGray Ullam,Sports,22153.56,True
P007297,Yellow Perferendis,Beauty,22790.65,True
P010291,MediumSlateBlue Explicabo,Toys,18489.89,True
P002980,Khaki Debitis,Fashion,22716.9,True
P003951,Violet Ratione,Home,222.56,True
P002197,GhostWhite Animi,Electronics,1460.42,True
P007084,Cornsilk Rem,Home,19162.69,True
P014574,Redefine 24/365 E-Tailers,Grocery,FREE,True
P005865,Wheat Officiis,Electronics,4785.44,True
P008592,SlateGray Vero,Toys,9955.02,True
P012504,Deliver Killer Portals,Books,-674.4528354649747,True
P000075,MidnightBlue In,Sports,24468.27,True
P000959,LightSalmon Aliquid,Fashion,8675.23,True
P011887,Maroon Voluptas,Home,19688.02,True
P001732,Turquoise Quisquam,Beauty,24501.18,True
P001142,Wheat Maxime,Grocery,18718.46,True
P005773,Khaki Natus,Home,2937.43,True
P007413,MediumAquaMarine Veniam,Grocery,1914.39,True
P013813,,Toys,23196.43,True
P005154,Green Beatae,Sports,4023.73,True
P011659,DarkSlateGray Modi,Home,5750.59,True
P001434,MediumSlateBlue Necessitatibus,Sports,24814.29,True
P000060,PowderBlue Corrupti,Grocery,1085.71,True
P012835,,Sports,12818.26,True
P014498,Streamline Granular Portals,Electronics,FREE,True
P004610,DarkGray Veritatis,Electronics,20139.12,True
P011766,Linen Laudantium,Beauty,1119.99,True
P008411,MediumAquaMarine Tempore,Books,6964.46,True
P011084,Tan Deserunt,Grocery,15817.69,True
P003599,Magenta Dolore,Books,2351.94,True
P009391,DarkKhaki Fuga,Electronics,4719.64,True
P008756,LimeGreen Necessitatibus,Grocery,18093.35,True
P001774,Plum Ad,Grocery,5457.2,True
P008480,DimGray Doloremque,Fashion,8702.5,True
P001360,SteelBlue Ullam,Sports,23195.78,True
P013703,Re-Contextualize Wireless Architectures,Sports,FREE,True
P000330,Snow Neque,Books,19765.32,True
P014796,,Grocery,12094.74,True
P014134,Cultivate Leading-Edge Solutions,Grocery,-666.6488486061805,True
P008769,Magenta Voluptate,Electronics,17371.26,True
P011641,DarkSalmon Quisquam,Home,5244.56,True
P004061,Blue Aperiam,Beauty,10730.26,True
P003770,Tomato Asperiores,Sports,5751.13,True
P001910,HoneyDew Expedita,Beauty,2647.4,True
P007134,Navy Ad,Beauty,3451.62,True
P014758,Extend Next-Generation Architectures,Electronics,-525.712908895841,True
P003918,Peru Quo,Books,14198.96,True
P013920,,Grocery,16739.24,True
P008885,PowderBlue Cumque,Grocery,23251.72,True
P003387,DarkMagenta Sequi,Toys,10452.57,True
P005275,Crimson Cum,Books,11826.81,True
P009444,SpringGreen Odit,Home,22929.71,True
P007651,White Necessitatibus,Fashion,80.77,True
P014524,Disintermediate Extensible Roi,Grocery,FREE,True
P006688,SlateGray Hic,Toys,21136.1,True
P014199,Facilitate Mission-Critical Models,Electronics,-112.4028243167214,True
P014303,Engage Cutting-Edge Roi,Toys,FREE,True
P008655,Fuchsia Inventore,Grocery,17884.06,True
P000325,Peru Repellendus,Electronics,10665.31,True
P011828,Black Perspiciatis,Books,17593.73,True
P010595,BlueViolet Modi,Beauty,20016.52,True
P012034,,Toys,18725.19,True
P002794,Aqua Iste,Toys,18842.42,True
P002826,PaleVioletRed Dolor,Home,13006.28,True
P006723,Chocolate Non,Electronics,17791.04,True
P009186,Turquoise Praesentium,Beauty,12637.46,True
P014360,,Home,14813.91,True
P000191,Wheat Ut,Sports,23090.45,True
P004408,LightCoral Occaecati,Sports,20567.55,True
P013445,Incentivize Compelling Systems,Sports,-693.5166547153049,True
P008266,DarkRed Quibusdam,Sports,23313.84,True
P004921,MediumAquaMarine Iste,Home,23168.39,True
P010578,DarkSeaGreen Illo,Grocery,21208.08,True
P004577,Plum Nisi,Books,10948.19,True
P006268,E-Enable Synergistic Applications,Sports,14586.17,True
P001278,Red Architecto,Beauty,21109.84,True
P013947,Strategize Holistic E-Commerce,Electronics,-966.6230880268303,True
P006345,OrangeRed Fugiat,Books,24473.76,True
P006576,Grow Collaborative E-Business,Toys,11589.56,True
P011176,Violet Doloribus,Toys,23913.04,True
P001318,BurlyWood Atque,Grocery,8539.71,True
P007755,DarkBlue Magnam,Books,23793.12,True
P003785,SeaGreen Saepe,Fashion,18012.81,True
P012918,Evolve Best-Of-Breed Deliverables,Beauty,-80.74403732931418,True
P014158,Strategize Back-End Metrics,,FREE,True
P004140,LawnGreen Perferendis,Beauty,7726.32,True
P001335,White Doloribus,Fashion,22698.67,True
P000175,Sienna Consequatur,Beauty,13608.14,True
P007727,Bisque Atque,Sports,16020.71,True
P009886,DarkSlateGray Sit,Beauty,4817.43,True
P007864,DarkBlue Cum,Grocery,11626.78,True
P007589,PaleGoldenRod Veniam,Sports,1769.58,True
P001226,FireBrick Reprehenderit,Books,18866.34,True
P012774,Incubate Robust E-Business,Sports,-116.0506720780568,True
P001223,PaleGoldenRod Doloremque,Toys,16827.96,True
P005591,SeaShell Accusamus,Electronics,5848.9,True
P007705,Redefine Wireless Applications,Grocery,11866.81,True
P014560,,Beauty,24958.43,True
P000036,Gray Impedit,Beauty,384.71,True
P008615,GreenYellow Quisquam,Grocery,8417.24,True
P007354,DarkGreen Laboriosam,Toys,9571.46,True
P001327,MediumPurple Velit,Fashion,20858.51,True
P000511,Blue Nisi,Toys,15257.11,True
P000139,Maroon Corporis,Toys,6496.73,True
P001765,Linen Quasi,Home,17525.54,True
P003956,FloralWhite Eaque,Home,13839.17,True
P006589,Linen Qui,Books,15875.88,True
P000473,MediumAquaMarine Laboriosam,Beauty,4798.04,True
P007670,DarkSlateBlue Deleniti,Electronics,23152.95,True
P007184,LightPink Alias,Toys,16335.9,True
P000966,Brown Cum,Grocery,11893.24,True
P010542,Crimson Quibusdam,Home,21494.41,True
P010417,OliveDrab Veritatis,Fashion,714.59,True
P011706,Orchid Eveniet,Electronics,16593.62,True
P011845,Cultivate Granular Vortals,Sports,16851.99,True
P003781,DarkGoldenRod Hic,Books,13226.79,True
P008008,Reinvent Wireless Portals,,24273.77,True
P002227,PaleGoldenRod Ipsum,Beauty,14508.19,True
P002650,Blue Minima,Toys,21617.7,True
P010419,RosyBrown Placeat,Sports,13414.1,True
P011801,Bisque Repudiandae,Home,22282.79,True
P010410,MediumBlue Voluptates,Home,21675.46,True
P001748,LawnGreen Laudantium,Toys,11418.62,True
P012041,,Toys,22994.97,True
P010109,MediumBlue Corrupti,Fashion,14105.29,True
P005356,DarkKhaki Saepe,Toys,3210.25,True
P005997,SandyBrown Illum,Books,1856.47,True
P003073,Lavender Fugiat,Beauty,12917.17,True
P003406,FireBrick Dolores,Grocery,14086.26,True
P001074,DarkCyan Deleniti,Fashion,16537.52,True
P009347,Plum Atque,Beauty,23747.71,True
P008693,LightSalmon Voluptatibus,Sports,16991.69,True
P011268,Snow Qui,Toys,18952.89,True
P011045,Pink Voluptates,Grocery,8366.26,True
P002766,Bisque Asperiores,Sports,4633.79,True
P008818,RosyBrown Nam,Home,20820.74,True
P014488,Transition Turn-Key Info-Mediaries,Sports,-314.5776213481724,True
P011226,Teal Molestias,Home,4179.3,True
P010445,MediumPurple Molestiae,Toys,21059.96,True
P006240,DarkGreen Quibusdam,Toys,21935.9,True
P003520,Brown Veritatis,Toys,4532.28,True
P009413,Beige Recusandae,Grocery,5829.31,True
