payment_id,order_id,payment_amount,payment_method,payment_date
PM00096031,O00072413,43486.01,COD,2025-01-15 17:44:09.538495
PM00071798,O00046969,32904.78,UPI,2024-10-15 17:44:08.441557
PM00018377,O00072943,MANY,UPI,2024-06-17 17:44:12.070888
PM00113949,O00006973,49099.49,UPI,2024-10-27 17:44:10.365720
PM00012014,O00030502,31488.16,CARD,2025-05-04 17:44:03.929184
PM00081817,O00072732,43219.27,COD,2024-02-06 17:44:08.896697
PM00073173,O00173700,14524.52,NETBANKING,2025-09-05 17:44:08.505586
PM00029895,O00109980,47985.31,COD,2024-11-17 17:44:05.647518
PM00049678,O00072844,12798.11,COD,2024-10-30 17:44:07.440164
PM00028365,O00002324,16905.35,CARD,2024-01-21 17:44:05.500742
PM00035174,O00037099,33017.7,UPI,2024-09-18 17:44:06.157372
PM00074847,O00153642,15791.92,CARD,2024-06-28 17:44:08.582003
PM00019286,O00127593,-545.528560935986,WALLET,2024-07-04 17:44:12.134618
PM00041464,O00042801,42067.91,WALLET,2024-08-30 17:44:06.758515
PM00100150,O00158232,26970.19,UPI,2024-12-19 17:44:09.724686
PM00100062,O00059223,46687.96,CARD,2025-01-27 17:44:09.720718
PM00014216,__ORPHAN__,30226.6,COD,2025-07-04 17:44:11.776332
PM00098628,O00113276,34473.35,CARD,2024-09-16 17:44:09.655863
PM00110829,O00018166,33814.86,WALLET,2024-11-29 17:44:10.223434
PM00113763,O00094025,29224.7,UPI,2024-09-13 17:44:10.357341
PM00092694,O00095908,15106.7,UPI,2025-01-18 17:44:09.388220
PM00004009,O00154988,47854.45,WALLET,2025-09-04 17:44:03.162987
PM00002027,O00018466,12436.93,UPI,2024-07-24 17:44:02.969612
PM00049438,O00076803,5664.24,COD,2024-03-27 17:44:07.429422
PM00010481,O00097248,29282.35,UPI,2024-11-08 17:44:03.783021
PM00057765,O00121058,25476.69,COD,2024-02-04 17:44:07.805306
PM00019055,O00037127,5842.08,NETBANKING,2025-09-27 17:44:04.603774
PM00097759,O00143981,32806.36,NETBANKING,2025-10-15 17:44:09.616860
PM00081945,O00160606,21560.69,UPI,2024-05-02 17:44:08.902344
PM00012040,O00133190,30502.59,,2024-08-02 17:44:11.621979
PM00002801,__ORPHAN__,38778.45,,2025-01-12 17:44:10.948151
PM00059545,O00011354,21858.47,CARD,2024-09-12 17:44:07.885725
PM00042897,O00137270,6103.15,CARD,2025-03-31 17:44:06.894748
PM00082539,O00057851,8291.32,UPI,2025-05-07 17:44:08.929291
PM00012767,O00074927,30500.69,COD,2024-05-07 17:44:04.002223
PM00019470,O00158039,13719.77,NETBANKING,2025-09-19 17:44:04.643210
PM00083289,O00169218,3368.91,WALLET,2025-09-22 17:44:08.962740
PM00012724,O00057404,18897.55,UPI,2024-04-30 17:44:03.997898
PM00105326,O00087739,37803.09,NETBANKING,2024-04-27 17:44:09.967429
PM00089286,O00069184,3595.64,COD,2025-01-08 17:44:09.234466
PM00095664,O00050412,41829.67,CARD,2025-10-20 17:44:09.522012
PM00116464,O00102636,698.06,UPI,2025-07-02 17:44:10.479077
PM00094256,O00099810,30069.77,CARD,2025-06-30 17:44:09.458665
PM00080241,O00108631,47419.23,NETBANKING,2024-11-25 17:44:08.825096
PM00080816,O00149213,43793.94,NETBANKING,2024-12-06 17:44:08.850822
PM00026258,O00105256,42518.1,COD,2025-05-10 17:44:05.299177
PM00087495,O00068915,40441.84,UPI,2024-06-19 17:44:09.153735
PM00034441,O00171964,3433.28,CARD,2025-03-23 17:44:06.087430
PM00010902,O00026745,36377.3,UPI,2025-11-04 17:44:03.823127
PM00068588,O00090892,1751.49,WALLET,2025-03-10 17:44:08.296358
PM00009243,__ORPHAN__,10321.55,UPI,2024-08-25 17:44:11.423957
PM00025808,O00049093,6723.07,COD,2025-09-04 17:44:05.255776
PM00047967,O00001176,8294.31,WALLET,2025-05-04 17:44:07.362192
PM00094613,O00072421,5158.32,NETBANKING,2025-07-26 17:44:09.474836
PM00109435,O00112789,35345.1,UPI,2024-01-30 17:44:10.157434
PM00001433,O00038066,27035.48,CARD,2024-11-22 17:44:02.911872
PM00033010,O00133423,13622.1,CARD,2024-07-21 17:44:05.946344
PM00014029,O00141151,40813.41,WALLET,2024-11-15 17:44:04.122100
PM00114009,O00003821,29629.1,COD,2024-01-11 17:44:11.593518
PM00066966,O00083021,49425.27,UPI,2025-04-10 17:44:11.007977
PM00075973,O00074544,22994.77,COD,2025-01-21 17:44:08.632638
PM00012469,O00133244,22937.73,CARD,2024-04-25 17:44:03.973774
PM00013621,O00107501,16423.77,WALLET,2025-09-07 17:44:04.083386
PM00014191,O00092849,5159.11,UPI,2025-04-23 17:44:11.631953
PM00030095,O00068746,47190.9,COD,2024-11-15 17:44:05.667161
PM00050255,O00009757,5766.74,WALLET,2024-09-19 17:44:07.466342
PM00081724,O00092079,2273.99,COD,2024-08-19 17:44:08.892587
PM00051257,O00061422,45049.97,WALLET,2025-03-07 17:44:07.511448
PM00058601,O00149203,39279.65,UPI,2024-06-14 17:44:07.843389
PM00064196,O00001525,45659.98,UPI,2025-01-14 17:44:08.098417
PM00030442,O00080313,30440.74,CARD,2025-11-09 17:44:05.700287
PM00108217,O00003535,36453.32,COD,2024-01-31 17:44:10.101433
PM00018522,O00056467,23390.17,NETBANKING,2024-12-11 17:44:04.552520
PM00112242,O00132214,2263.71,UPI,2025-02-01 17:44:10.288405
PM00044987,O00031466,4110.66,CARD,2025-03-30 17:44:07.096981
PM00071958,O00042024,33166.81,COD,2025-03-18 17:44:08.448770
PM00037327,O00146145,23793.15,CARD,2025-04-22 17:44:06.363475
PM00028748,O00113529,39019.7,WALLET,2024-09-27 17:44:12.079964
PM00015136,O00116776,28302.55,NETBANKING,2025-06-28 17:44:04.228020
PM00087030,O00158043,23714.15,CARD,2024-02-16 17:44:09.132777
PM00059644,O00080287,35598.55,CARD,2024-05-24 17:44:07.890086
PM00051453,O00087377,21492.16,CARD,2025-11-24 17:44:07.520386
PM00083757,O00035524,14089.36,CARD,2024-08-17 17:44:08.983833
PM00012709,O00129420,MANY,WALLET,2024-02-24 17:44:11.669996
PM00009151,O00116772,36971.22,,2024-12-25 17:44:11.417521
PM00036550,O00080414,43210.24,COD,2024-08-24 17:44:06.289405
PM00102022,O00161871,6053.1,COD,2024-05-20 17:44:09.813430
PM00022396,O00087889,13698.7,NETBANKING,2024-01-26 17:44:04.922437
PM00076810,O00101093,9261.01,CARD,2025-02-14 17:44:08.670172
PM00051393,O00065676,8815.96,NETBANKING,2024-12-06 17:44:07.517597
PM00042969,O00089224,21622.45,COD,2025-08-03 17:44:06.901514
PM00014443,O00030917,MANY,,2024-09-09 17:44:11.792210
PM00033027,O00157730,8875.88,CARD,2025-03-01 17:44:05.947940
PM00046849,O00171175,21663.13,CARD,2025-01-04 17:44:07.274988
PM00077270,O00107899,21185.89,NETBANKING,2024-09-29 17:44:08.690933
PM00091835,O00096502,558.09,UPI,2024-07-19 17:44:09.349581
PM00067950,O00013056,34619.72,WALLET,2025-09-12 17:44:08.267411
PM00112410,O00005591,45805.34,NETBANKING,2024-08-14 17:44:10.295961
PM00073342,O00011752,44582.93,UPI,2025-09-12 17:44:11.620511
PM00115813,O00034621,35637.84,UPI,2024-10-30 17:44:10.449443
PM00043254,O00129836,20028.14,WALLET,2025-05-08 17:44:06.928612
PM00100458,O00171226,26959.31,NETBANKING,2025-03-16 17:44:09.738641
PM00073916,O00113354,14372.22,NETBANKING,2024-10-02 17:44:08.539094
PM00005234,O00063106,14506.71,,2025-11-22 17:44:11.124048
PM00086545,O00145167,42982.56,UPI,2024-02-13 17:44:09.111101
PM00041135,O00152051,3024.05,WALLET,2025-03-23 17:44:06.727331
PM00058739,O00135848,10278.81,WALLET,2024-10-16 17:44:07.849643
PM00017202,O00114128,10451.51,WALLET,2024-11-12 17:44:04.425864
PM00008411,O00141262,34260.95,,2025-10-28 17:44:11.365972
PM00014955,O00033747,23609.23,CARD,2024-01-21 17:44:04.210750
PM00019067,O00089402,43290.2,NETBANKING,2025-03-09 17:44:04.604906
PM00078056,O00095482,2631.18,CARD,2025-03-26 17:44:08.726687
PM00043501,O00008594,30164.75,CARD,2024-05-07 17:44:06.952007
PM00068098,O00154095,17440.94,WALLET,2024-01-26 17:44:11.387715
PM00112178,O00138155,5806.5,WALLET,2025-06-02 17:44:10.285532
PM00114738,O00159850,37032.88,COD,2024-10-31 17:44:10.401325
PM00054041,O00052891,39113.45,CARD,2024-09-08 17:44:07.636499
PM00011901,O00158050,18728.32,WALLET,2025-02-11 17:44:03.918310
PM00081930,O00004888,3913.89,WALLET,2025-03-25 17:44:11.470929
PM00002517,__ORPHAN__,39072.23,COD,2024-04-06 17:44:10.927722
PM00063341,O00058410,18473.61,CARD,2024-08-12 17:44:08.059643
PM00001012,__ORPHAN__,33705.19,CARD,2024-02-03 17:44:10.815808
PM00004553,O00069268,8824.6,WALLET,2024-06-05 17:44:03.215686
PM00023284,O00045678,2066.21,COD,2025-08-13 17:44:05.007103
PM00059630,O00038389,31645.26,UPI,2024-03-28 17:44:07.889472
PM00099278,O00173432,33485.46,WALLET,2025-03-29 17:44:09.684871
PM00075174,O00147265,10232.38,COD,2024-03-20 17:44:08.596863
PM00014659,O00102561,MANY,UPI,2025-03-04 17:44:11.807234
PM00069665,O00159116,29543.3,UPI,2025-10-03 17:44:08.345047
PM00093532,O00113634,23507.37,WALLET,2025-07-30 17:44:09.426031
PM00069827,O00085859,13772.13,NETBANKING,2024-07-29 17:44:08.352230
PM00048908,O00037014,4308.06,COD,2025-09-30 17:44:07.405499
PM00092341,O00124820,29758.56,WALLET,2025-02-23 17:44:09.372471
PM00039903,O00152914,36294.01,UPI,2024-08-29 17:44:06.609852
PM00087542,O00034577,35094.78,UPI,2024-08-12 17:44:09.155876
PM00003164,O00121457,20212.73,UPI,2024-07-31 17:44:03.080500
PM00046240,O00151338,24712.5,NETBANKING,2024-06-11 17:44:07.217024
PM00063988,O00095237,43849.92,COD,2025-07-23 17:44:08.088769
PM00062417,O00119101,38539.48,COD,2025-07-20 17:44:08.015745
PM00000955,O00039555,-375.26511149279116,CARD,2025-11-01 17:44:10.811647
PM00094996,O00038035,45112.29,COD,2024-10-22 17:44:09.492149
PM00096320,O00128550,4344.31,WALLET,2025-06-10 17:44:09.551395
PM00006389,O00173830,37361.14,,2024-02-13 17:44:11.206804
PM00041848,O00054075,35948.7,WALLET,2024-01-07 17:44:06.794776
PM00111476,O00040566,22269.68,WALLET,2025-05-29 17:44:10.253177
PM00096991,O00172823,35613.33,CARD,2025-02-19 17:44:09.581613
PM00096111,O00127114,48580.28,UPI,2025-10-04 17:44:09.542024
PM00088478,O00044726,37681.5,NETBANKING,2025-09-23 17:44:09.198200
PM00093749,O00148801,36462.4,COD,2025-02-07 17:44:09.435667
PM00080675,O00148550,11356.24,CARD,2024-09-06 17:44:08.844573
PM00054065,O00127384,20850.73,UPI,2025-03-24 17:44:07.637823
PM00023839,O00005901,8141.33,NETBANKING,2025-10-16 17:44:05.062932
PM00016061,__ORPHAN__,10923.6,COD,2024-06-20 17:44:11.906972
PM00062714,O00042728,18495.04,WALLET,2024-02-01 17:44:08.029167
PM00076529,O00011012,24131.46,UPI,2025-05-25 17:44:08.657649
PM00079966,O00029296,1852.1,CARD,2025-05-04 17:44:08.812512
PM00093351,O00150569,34935.61,CARD,2025-05-30 17:44:09.417816
PM00017399,O00156418,46564.19,CARD,2024-07-30 17:44:04.444489
PM00097196,O00024750,7790.04,UPI,2025-05-01 17:44:09.590722
PM00032813,O00167972,26273.77,CARD,2025-08-16 17:44:05.927737
PM00064625,O00040631,48519.62,COD,2025-02-19 17:44:08.117446
PM00035458,O00004827,24076.16,WALLET,2024-01-23 17:44:06.184208
PM00044026,O00149285,27309.99,COD,2024-07-05 17:44:07.001774
PM00052673,O00077773,1602.71,CARD,2024-04-29 17:44:07.575316
PM00007165,O00103944,7941.43,UPI,2025-07-10 17:44:03.464845
PM00090756,O00147404,39842.41,UPI,2024-01-29 17:44:09.301331
PM00005160,O00139766,-259.228830359828,UPI,2025-06-28 17:44:11.118710
PM00083426,O00141024,16261.14,COD,2024-06-18 17:44:08.968782
PM00001591,O00169592,31985.8,NETBANKING,2025-04-27 17:44:02.927003
PM00013264,O00059140,3118.34,,2024-09-23 17:44:11.709001
PM00080248,O00139366,40204.99,CARD,2024-10-11 17:44:08.825410
PM00015894,O00017600,22283.28,COD,2024-06-04 17:44:04.300274
PM00069465,O00056808,12898.36,UPI,2024-10-02 17:44:08.336021
PM00020529,O00125531,8702.94,NETBANKING,2025-03-16 17:44:04.744366
PM00065882,O00095504,23244.84,CARD,2025-02-18 17:44:08.173819
PM00021696,O00096268,27729.67,CARD,2024-02-06 17:44:04.855220
PM00015216,O00009530,40001.99,NETBANKING,2025-11-22 17:44:04.235662
PM00014980,O00046583,MANY,UPI,2025-09-14 17:44:11.830292
PM00086417,O00004316,656.36,COD,2024-07-25 17:44:09.105308
PM00078486,O00094725,24422.26,WALLET,2025-05-03 17:44:08.746010
PM00074550,O00121978,15192.51,COD,2025-07-25 17:44:08.568480
PM00116990,O00056008,7731.42,COD,2025-10-17 17:44:10.502622
PM00081980,O00073230,41902.01,COD,2024-05-17 17:44:08.903888
PM00006438,O00113708,35693.2,,2025-04-22 17:44:11.210338
PM00048443,O00158679,11505.26,COD,2024-07-07 17:44:07.384434
PM00070171,O00082277,24290.9,COD,2024-01-06 17:44:08.368087
PM00016300,O00086658,MANY,CARD,2024-01-20 17:44:11.924341
PM00010429,O00163841,49756.98,NETBANKING,2025-07-18 17:44:03.777968
PM00100440,O00018449,27607.73,UPI,2024-09-08 17:44:09.737805
PM00054236,O00130100,30099.63,UPI,2025-09-15 17:44:07.645484
PM00092175,O00028502,26083.36,UPI,2024-08-03 17:44:09.365105
PM00082252,O00012996,25464.01,UPI,2024-07-27 17:44:08.916345
PM00037576,O00075279,37891.29,COD,2024-08-23 17:44:06.387021
PM00029609,O00054091,30784.09,WALLET,2025-08-14 17:44:05.620343
PM00007338,O00013071,15546.33,WALLET,2024-04-13 17:44:03.481260
PM00104204,O00009727,28120.3,WALLET,2024-05-14 17:44:09.912353
PM00092198,O00120910,18377.31,WALLET,2025-09-04 17:44:09.366117
PM00076085,O00089532,5277.51,UPI,2025-04-02 17:44:08.637836
PM00054500,O00040057,25150.26,UPI,2025-01-26 17:44:07.657282
PM00065223,O00140285,23689.68,NETBANKING,2025-09-15 17:44:08.144100
PM00095293,O00107649,9100.1,UPI,2025-04-06 17:44:09.505373
PM00110236,O00144964,17305.59,NETBANKING,2025-07-01 17:44:10.195259
PM00018759,O00053891,4649.31,,2025-10-19 17:44:12.097917
PM00013739,O00063101,46639.82,COD,2025-07-06 17:44:04.094597
PM00103980,O00000821,3684.42,CARD,2025-11-16 17:44:09.901808
PM00047617,O00082818,40154.68,,2025-08-07 17:44:10.903775
PM00002507,O00043970,25224.2,CARD,2024-03-14 17:44:03.017510
PM00014958,__ORPHAN__,14909.4,,2025-05-18 17:44:11.828644
PM00102980,O00056109,39832.17,WALLET,2024-09-06 17:44:09.857028
PM00005022,O00003203,4321.96,WALLET,2024-02-04 17:44:03.260481
PM00087973,O00098415,22142.53,CARD,2024-05-24 17:44:09.175398
PM00093319,O00103731,38826.71,COD,2025-01-12 17:44:09.416399
PM00078884,O00164293,11309.03,COD,2025-01-17 17:44:08.763922
PM00111435,O00117877,25824.01,UPI,2024-11-27 17:44:10.251067
PM00105043,O00160912,28152.99,WALLET,2025-11-21 17:44:09.954559
PM00070943,O00127145,31175.07,NETBANKING,2025-05-14 17:44:08.403220
PM00006072,O00169500,45970.79,CARD,2024-12-24 17:44:03.360266
PM00114494,O00120632,37993.61,CARD,2025-01-28 17:44:10.390397
PM00065104,O00022796,41240.76,NETBANKING,2024-06-03 17:44:08.138615
PM00004190,O00065287,19201.7,COD,2024-04-13 17:44:03.181182
PM00010152,O00010897,-806.2425166933408,WALLET,2024-07-13 17:44:11.488648
PM00011424,O00021047,31040.45,COD,2024-12-10 17:44:03.872281
PM00020238,O00060825,32191.92,COD,2025-08-25 17:44:04.716849
PM00017896,O00168554,39274.24,UPI,2024-04-24 17:44:04.491657
PM00103810,O00094201,6746.98,NETBANKING,2025-01-30 17:44:09.894235
PM00003960,O00147686,34907.53,UPI,2025-05-23 17:44:03.158361
PM00049007,O00031643,4583.42,UPI,2025-06-25 17:44:07.410113
PM00110887,O00143224,18004.17,WALLET,2025-10-27 17:44:10.226125
PM00018366,O00111308,40170.86,COD,2024-12-12 17:44:04.537705
PM00047306,O00056038,42943.49,CARD,2024-11-25 17:44:07.318393
PM00033504,O00083913,45764.92,UPI,2025-09-09 17:44:05.993450
PM00006775,O00041089,10119.33,CARD,2024-07-08 17:44:03.427646
PM00032096,O00158781,38567.59,NETBANKING,2024-09-13 17:44:05.859132
PM00102192,O00118898,24196.37,WALLET,2024-12-18 17:44:09.821592
PM00002425,O00067145,22632.39,,2024-12-14 17:44:10.921127
PM00009105,O00146649,-642.0130365499052,NETBANKING,2025-10-31 17:44:11.414324
PM00021928,O00070259,13960.29,UPI,2025-07-07 17:44:04.877394
PM00110621,O00108927,31930.78,NETBANKING,2025-08-10 17:44:10.213475
PM00022971,O00048856,37074.7,UPI,2024-05-04 17:44:04.977232
PM00012607,O00086853,44010.43,CARD,2024-06-04 17:44:03.986830
PM00108822,O00087366,30399.81,CARD,2025-05-21 17:44:10.129337
PM00001773,O00150532,33036.58,WALLET,2024-07-10 17:44:02.944313
PM00074238,O00173983,42211.45,NETBANKING,2025-08-18 17:44:08.553769
PM00024931,O00133016,8502.93,CARD,2025-04-15 17:44:05.169803
PM00030853,O00004365,2805.0,CARD,2024-12-29 17:44:05.739982
PM00107799,O00052271,38426.05,WALLET,2024-02-25 17:44:10.082181
PM00085152,O00095136,44975.48,COD,2024-09-01 17:44:09.047640
PM00091626,O00138771,30859.7,NETBANKING,2025-10-03 17:44:09.340227
PM00090658,O00004604,16341.08,UPI,2024-12-07 17:44:09.296813
PM00018405,O00137110,36600.25,CARD,2024-05-19 17:44:04.541378
PM00017764,O00043386,29638.42,,2024-06-04 17:44:12.027123
PM00021027,O00164185,14412.66,CARD,2024-09-23 17:44:04.791683
PM00088797,O00147626,34938.38,COD,2025-03-20 17:44:09.212505
PM00037334,O00147739,12849.61,UPI,2024-07-09 17:44:06.364129
PM00047793,O00016169,12361.53,WALLET,2024-03-13 17:44:07.354293
PM00073715,O00036933,30763.19,WALLET,2024-04-25 17:44:08.530049
PM00112553,O00127955,34125.9,UPI,2025-01-08 17:44:10.302475
PM00044669,O00030165,3233.18,WALLET,2025-06-22 17:44:07.066782
PM00042397,O00148243,22979.41,CARD,2024-03-06 17:44:06.847518
PM00037109,O00141507,13155.96,WALLET,2024-11-12 17:44:06.342582
PM00106036,O00078766,20036.82,WALLET,2025-05-20 17:44:10.000376
PM00047307,O00085203,36480.32,COD,2024-03-14 17:44:07.318486
PM00003933,O00108965,-793.9332675066331,COD,2024-03-26 17:44:11.029728
PM00033407,O00117874,18546.59,UPI,2025-07-21 17:44:05.984146
PM00018433,__ORPHAN__,27997.31,WALLET,2024-09-09 17:44:12.074772
PM00019397,O00062266,16282.67,,2024-04-22 17:44:12.142384
PM00030280,O00028789,4298.34,CARD,2025-05-08 17:44:05.684774
PM00063561,O00049738,14747.87,WALLET,2025-09-14 17:44:08.069683
PM00028271,O00106175,26865.2,UPI,2024-07-21 17:44:05.491766
PM00039754,O00119494,47940.42,CARD,2025-05-05 17:44:06.595951
PM00061350,O00027999,46675.6,WALLET,2025-08-05 17:44:07.967554
PM00015272,O00104503,19289.46,COD,2024-11-30 17:44:04.241076
PM00022245,O00042935,770.86,WALLET,2024-07-19 17:44:04.908117
PM00089885,O00123322,29599.39,COD,2024-10-27 17:44:09.261458
PM00089810,O00005570,44275.11,UPI,2024-09-09 17:44:09.258133
PM00006377,O00017021,44404.41,,2024-08-13 17:44:11.205984
PM00066740,O00018306,17032.78,WALLET,2025-09-05 17:44:08.212794
PM00090381,O00084873,4194.66,WALLET,2025-08-29 17:44:09.284397
PM00000410,O00120206,43016.73,WALLET,2024-11-11 17:44:11.566105
PM00071490,O00172538,31147.43,CARD,2024-09-28 17:44:08.427784
PM00105913,O00170011,6059.65,UPI,2024-05-18 17:44:09.994517
PM00065725,O00137380,31663.36,WALLET,2025-03-21 17:44:08.166811
PM00059163,O00062009,42766.34,CARD,2024-06-05 17:44:07.868680
PM00043752,O00171342,35412.25,NETBANKING,2025-11-09 17:44:11.413771
PM00056203,O00068775,6134.24,NETBANKING,2024-04-01 17:44:07.734413
PM00039419,O00131820,48080.38,NETBANKING,2025-01-28 17:44:06.562717
PM00004862,__ORPHAN__,12750.04,,2025-10-02 17:44:11.097378
PM00051897,O00137907,13090.22,CARD,2024-04-12 17:44:07.540102
PM00074540,O00004683,23109.11,CARD,2025-01-27 17:44:08.568035
PM00017162,O00111673,3724.03,COD,2024-01-13 17:44:04.422032
PM00045814,O00149723,48768.41,WALLET,2025-05-27 17:44:07.176359
PM00029554,O00132873,9264.75,NETBANKING,2024-01-09 17:44:05.615160
PM00001085,O00119128,15658.22,UPI,2024-09-03 17:44:02.878145
PM00017171,O00115901,37218.49,UPI,2025-09-02 17:44:04.422871
PM00100913,O00049733,43755.79,NETBANKING,2024-03-29 17:44:09.759289
PM00074935,O00129138,40567.08,,2024-12-27 17:44:12.062478
PM00091679,O00133786,16508.82,UPI,2024-12-10 17:44:09.342562
PM00102271,O00076129,27963.91,NETBANKING,2024-01-19 17:44:09.825121
PM00062539,O00153473,45731.25,CARD,2024-09-14 17:44:08.021386
PM00019267,O00058536,27491.12,COD,2025-11-04 17:44:04.623806
PM00010093,O00169048,35267.5,NETBANKING,2024-03-16 17:44:03.746240
PM00090450,O00027163,45909.71,COD,2024-02-09 17:44:09.287502
PM00042784,O00173276,26966.98,COD,2024-11-05 17:44:06.884158
PM00014678,O00060216,24987.79,,2025-10-25 17:44:11.808539
PM00071166,O00114427,42323.1,NETBANKING,2025-07-20 17:44:08.413260
PM00028202,O00174158,30343.26,UPI,2024-03-29 17:44:05.485230
PM00047111,O00032423,10879.91,CARD,2025-03-02 17:44:07.300000
PM00038731,O00066791,26124.63,COD,2024-10-25 17:44:06.497343
PM00071547,O00130529,9902.68,WALLET,2025-05-23 17:44:08.430315
PM00032152,O00113701,46590.65,COD,2024-03-31 17:44:05.864759
PM00023250,O00172968,47716.0,UPI,2025-01-29 17:44:05.003840
PM00103603,O00073711,42922.01,CARD,2024-04-08 17:44:09.884955
PM00005204,O00048243,16968.76,UPI,2024-07-12 17:44:03.277679
PM00101319,O00091257,417.24,UPI,2025-11-20 17:44:09.777637
PM00014354,O00173606,38670.08,COD,2024-01-12 17:44:04.153770
PM00091030,O00138464,334.3,COD,2025-06-27 17:44:09.313547
PM00003758,O00118358,48032.14,NETBANKING,2025-09-17 17:44:03.137802
PM00017533,__ORPHAN__,8192.66,WALLET,2025-05-08 17:44:12.010774
PM00005934,O00032436,3849.21,,2024-12-28 17:44:11.174287
PM00055260,O00132163,34720.0,COD,2025-11-23 17:44:07.691609
PM00044905,O00028317,22764.45,NETBANKING,2025-02-26 17:44:07.089231
PM00016646,__ORPHAN__,8514.26,WALLET,2025-01-04 17:44:11.948461
PM00012229,O00062781,-308.8195136771993,COD,2025-10-04 17:44:11.635912
PM00050350,O00006898,13747.88,UPI,2024-05-17 17:44:07.470647
PM00117515,O00110468,34357.54,NETBANKING,2025-08-18 17:44:10.526347
PM00026169,O00064350,36349.78,UPI,2025-04-10 17:44:05.290683
PM00103753,O00161377,1523.98,UPI,2024-06-07 17:44:09.891585
PM00018112,O00060193,-55.34420304025114,,2024-06-18 17:44:12.052045
PM00016548,O00150668,18645.36,UPI,2024-04-15 17:44:04.363663
PM00019702,O00010520,32936.32,UPI,2025-09-29 17:44:04.665193
PM00021882,O00036137,15273.79,NETBANKING,2024-05-04 17:44:04.872866
PM00005544,O00146980,MANY,CARD,2024-12-12 17:44:11.146387
PM00035983,O00039493,6218.72,COD,2024-12-01 17:44:06.234439
PM00067970,O00080648,44229.77,WALLET,2025-05-28 17:44:08.268313
PM00108958,O00169730,7347.42,COD,2024-10-16 17:44:10.135547
PM00050770,O00135427,29857.82,NETBANKING,2025-10-28 17:44:07.489623
PM00033445,O00017587,49746.16,COD,2025-10-18 17:44:05.987868
PM00015093,O00074525,MANY,,2025-08-12 17:44:11.838256
PM00069616,O00107071,20628.19,NETBANKING,2024-05-01 17:44:08.342816
PM00030351,O00120562,5268.08,CARD,2024-07-22 17:44:05.691751
PM00024852,O00082695,46779.03,UPI,2024-06-16 17:44:05.162290
PM00103014,O00122228,43479.16,WALLET,2024-05-20 17:44:09.858526
PM00026117,O00168900,17809.69,COD,2024-08-28 17:44:05.285798
PM00034961,O00004813,35692.99,UPI,2025-02-03 17:44:06.136920
PM00000607,O00057133,24556.0,COD,2025-08-23 17:44:02.830989
PM00003653,O00082835,-348.0377447253836,UPI,2024-04-27 17:44:11.009684
PM00020906,O00098480,4460.15,CARD,2024-02-19 17:44:04.780117
PM00006717,O00165335,34420.15,NETBANKING,2024-12-26 17:44:03.422123
