order_id,customer_code,order_date,status,order_city,order_state
O00111275,C0020871,2024-03-18 19:18:55.050952,SHIPPED,Sonipat,West Bengal
O00143457,C0119370,2024-05-18 17:05:31.050952,SHIPPED,Kanpur,Chhattisgarh
O00149242,C0069685,2025-09-22 17:50:40.050952,SHIPPED,Ludhiana,Jharkhand
O00020165,C0126242,2024-08-18 23:00:02.050952,PLACED,Hospet,Jharkhand
O00029981,C0053841,2024-02-15 13:11:20.050952,SHIPPED,Siwan,Himachal Pradesh
O00100855,C0136406,2025-01-11 07:21:20.050952,SHIPPED,Maheshtala,Rajasthan
O00163150,C0084017,2025-08-27 22:58:32.050952,SHIPPED,Sangli-Miraj & Kupwad,Sikkim
O00044266,C0010279,2025-11-26 01:00:01.050952,DELIVERED,Gopalpur,Punjab
O00096380,C0180261,2025-03-11 15:48:23.050952,PLACED,Gangtok,Manipur
O00047077,C0135726,2025-02-22 13:52:44.050952,SHIPPED,Panvel,Madhya Pradesh
O00157398,C0181897,2025-07-15 12:10:17.050952,DELIVERED,Rajkot,Tripura
O00164916,C0214318,2024-03-26 22:26:03.050952,PLACED,Tiruvottiyur,Odisha
O00070200,C0034953,2025-08-31 06:18:28.050952,PLACED,Danapur,Madhya Pradesh
O00074740,C0028441,2025-05-04 13:38:20.050952,SHIPPED,Karimnagar,Chhattisgarh
O00070405,C0017727,2024-07-22 00:21:17.050952,DELIVERED,Unnao,Odisha
O00174111,C0213651,2024-03-06 12:23:47.050952,SHIPPED,Sikar,Assam
O00088670,C0024166,2025-10-28 08:39:37.050952,DELIVERED,Kollam,West Bengal
O00165423,C0189409,2024-08-12 16:37:05.050952,PLACED,Guntakal,Arunachal Pradesh
O00148814,C0179848,2025-01-30 02:00:56.050952,DELIVERED,Chapra,Bihar
O00039158,C0004127,2024-08-06 04:19:05.050952,SHIPPED,Bardhaman,Bihar
O00023747,C0204596,2024-09-04 05:59:48.221628,PLACED,Bihar Sharif,
O00101034,C0024216,2025-10-05 04:33:57.050952,DELIVERED,Ambarnath,Telangana
O00104640,C0145162,2023-12-26 02:42:26.050952,SHIPPED,Bilaspur,Meghalaya
O00044759,C0205548,2025-11-18 11:04:25.050952,PLACED,Sasaram,Bihar
O00010009,C0147384,2025-09-27 14:27:35.221628,RETURNED,Aurangabad,
O00167250,C0137637,2024-09-20 07:06:35.050952,SHIPPED,Jehanabad,Tamil Nadu
O00079651,C0074628,2025-04-14 22:09:24.050952,PLACED,Coimbatore,Goa
O00043066,C0170689,2024-10-19 14:11:12.050952,PLACED,Chinsurah,Madhya Pradesh
O00133508,C0213567,2024-11-21 16:32:48.050952,SHIPPED,Thrissur,Manipur
O00064268,C0029823,2025-08-16 05:01:12.050952,SHIPPED,Danapur,Nagaland
O00072829,C0208546,2025-06-26 14:22:41.050952,SHIPPED,Belgaum,Manipur
O00009500,C0176075,2024-04-27 01:09:00.221628,SHIPPED,Latur,
O00086400,C0066242,2024-05-25 17:54:36.050952,SHIPPED,Nellore,Rajasthan
O00014063,C0210541,2026-02-16 17:43:38.454893,PLACED,Bihar Sharif,Mizoram
O00127990,C0199021,2024-06-14 00:51:29.050952,PLACED,Ludhiana,Maharashtra
O00041934,C0076084,2025-11-08 07:23:43.050952,SHIPPED,Mumbai,Chhattisgarh
O00043015,C0025597,2025-01-04 12:37:25.050952,SHIPPED,Jabalpur,Assam
O00157214,C0214276,2024-05-08 21:52:57.050952,SHIPPED,Ulhasnagar,Himachal Pradesh
O00012682,C0187439,2025-06-01 20:31:32.050952,PLACED,Pallavaram,Jharkhand
O00088460,C0019473,2024-03-30 16:21:17.050952,RETURNED,Mangalore,Tripura
O00005369,C0124086,2025-11-29 02:44:44.050952,SHIPPED,Phusro,Mizoram
O00083561,C0013363,2025-08-26 03:33:01.050952,SHIPPED,Jalandhar,Madhya Pradesh
O00006432,C0103328,2023-12-07 14:40:39.050952,SHIPPED,Ozhukarai,Mizoram
O00026575,C0209536,2025-08-24 19:39:05.221628,DELIVERED,Vasai-Virar,
O00048369,C0134867,2024-04-02 01:11:27.050952,SHIPPED,Tiruvottiyur,Gujarat
O00069738,C0047672,2025-11-01 08:33:11.050952,PLACED,Kalyan-Dombivli,Assam
O00028387,C0064323,2024-11-28 02:33:14.050952,DELIVERED,Bulandshahr,Punjab
O00132541,C0020676,2025-11-04 23:24:26.050952,DELIVERED,Madurai,Jharkhand
O00151963,C0107748,2025-04-02 04:40:33.050952,SHIPPED,Gorakhpur,Chhattisgarh
O00001874,__ORPHAN__,2024-04-04 21:15:59.221628,SHIPPED,Amravati,West Bengal
O00002385,C0129878,2026-03-05 17:43:37.427776,DELIVERED,Faridabad,West Bengal
O00153557,C0205885,2024-07-07 00:23:33.050952,PLACED,Kanpur,Odisha
O00016957,__ORPHAN__,2025-01-18 08:00:28.221628,RETURNED,Jalgaon,Manipur
O00019137,__ORPHAN__,2025-10-28 00:43:54.221628,PLACED,Mirzapur,Tamil Nadu
O00152165,C0168614,2025-04-29 21:06:06.050952,PLACED,Surat,Goa
O00162213,C0074748,2024-11-27 14:40:10.050952,SHIPPED,Patiala,Kerala
O00085527,C0130986,2024-09-20 15:27:43.050952,SHIPPED,Chennai,Andhra Pradesh
O00015403,C0154460,2026-03-30 17:43:38.601443,SHIPPED,Vadodara,Haryana
O00084518,C0021845,2025-08-04 17:55:39.050952,SHIPPED,Berhampur,Karnataka
O00024349,C0082082,2024-10-18 12:40:07.221628,PLACED,Sangli-Miraj & Kupwad,
O00108284,C0004313,2024-01-30 02:22:59.050952,DELIVERED,Unnao,Bihar
O00140951,C0028300,2024-10-22 06:18:07.050952,SHIPPED,Anantapuram,Uttarakhand
O00125551,C0188476,2024-09-21 01:09:20.050952,DELIVERED,Chennai,Tripura
O00150446,C0077588,2024-09-06 22:02:13.050952,SHIPPED,Bijapur,Goa
O00090345,C0158874,2025-09-08 10:26:55.050952,DELIVERED,Machilipatnam,Meghalaya
O00082774,C0022155,2024-12-03 03:32:27.050952,PLACED,Lucknow,Uttarakhand
O00120158,C0097301,2025-05-15 20:03:53.050952,PLACED,Raichur,Rajasthan
O00077967,C0073518,2025-10-26 04:52:28.050952,PLACED,Mathura,Manipur
O00077224,C0168197,2024-03-15 00:04:08.050952,DELIVERED,Akola,Haryana
O00102353,C0061026,2025-04-03 07:05:40.050952,PLACED,Kamarhati,Chhattisgarh
O00003205,C0072225,2025-08-30 19:23:26.050952,SHIPPED,Surat,Madhya Pradesh
O00167209,C0093573,2025-01-10 00:19:39.050952,PLACED,Jamshedpur,Nagaland
O00151809,C0032993,2024-01-26 06:14:00.050952,SHIPPED,Gandhidham,Assam
O00066843,C0117110,2024-03-16 11:52:51.050952,SHIPPED,Srinagar,Rajasthan
O00006277,C0080636,2025-08-13 22:08:04.050952,DELIVERED,South Dumdum,Gujarat
O00169258,C0112803,2024-05-24 06:56:57.050952,DELIVERED,Kulti,Bihar
O00075934,C0038162,2024-02-04 14:04:09.050952,SHIPPED,Ratlam,Gujarat
O00028180,C0155474,2025-07-13 03:02:25.221628,RETURNED,Varanasi,
O00089414,C0169553,2024-03-26 19:05:48.050952,PLACED,Bijapur,Haryana
O00006003,C0141778,2024-12-29 10:51:38.050952,DELIVERED,Jamalpur,Punjab
O00051700,C0112448,2025-04-24 11:43:42.050952,PLACED,Machilipatnam,Meghalaya
O00016781,C0060176,2025-08-02 12:47:28.050952,PLACED,Davanagere,Goa
O00020912,C0083141,2025-03-03 18:41:17.050952,SHIPPED,Agartala,Chhattisgarh
O00154302,C0114501,2025-11-11 11:09:24.050952,SHIPPED,Muzaffarnagar,Odisha
O00004102,C0153799,2025-12-24 17:43:37.574556,DELIVERED,Kota,Bihar
O00018268,C0155498,2025-12-06 17:43:38.904989,PLACED,Satna,Madhya Pradesh
O00144188,C0121099,2025-09-29 08:40:18.050952,DELIVERED,Jalna,Chhattisgarh
O00074053,C0062760,2025-03-09 14:03:29.050952,SHIPPED,Moradabad,Tripura
O00141297,C0062650,2025-06-22 20:03:50.221628,RETURNED,Ichalkaranji,Chhattisgarh
O00066727,C0188317,2024-05-24 07:43:32.050952,PLACED,Vadodara,Rajasthan
O00066644,C0201479,2024-12-21 06:08:52.050952,SHIPPED,Amritsar,Haryana
O00118677,C0176060,2025-01-04 13:32:45.050952,SHIPPED,Bokaro,Tamil Nadu
O00011986,C0085777,2025-02-03 10:14:11.050952,DELIVERED,Hospet,Sikkim
O00010186,C0208764,2026-01-04 17:43:38.096654,PLACED,Katni,Kerala
O00017192,C0028478,2024-02-19 21:33:40.050952,DELIVERED,Aurangabad,Sikkim
O00000703,C0107881,2024-10-03 21:36:19.050952,DELIVERED,Vasai-Virar,Andhra Pradesh
O00029191,C0008574,2025-05-27 04:25:24.221628,SHIPPED,Mirzapur,
O00038255,C0024639,2024-06-29 14:26:27.050952,SHIPPED,Udupi,Maharashtra
O00123391,C0149793,2024-10-19 05:47:26.050952,SHIPPED,Noida,Telangana
O00140915,C0000748,2024-06-19 23:18:52.050952,PLACED,Gudivada,Meghalaya
O00058121,C0140296,2024-12-09 05:53:06.050952,SHIPPED,Jalna,Meghalaya
O00053459,C0009959,2025-05-05 15:35:54.050952,SHIPPED,Mira-Bhayandar,Gujarat
O00041970,C0031761,2024-08-25 19:35:12.050952,PLACED,Kolhapur,Tamil Nadu
O00028493,C0101820,2024-10-19 00:11:13.050952,SHIPPED,Giridih,Arunachal Pradesh
O00158654,C0021448,2024-01-21 16:57:24.050952,SHIPPED,Sambalpur,Tamil Nadu
O00039776,C0153407,2025-10-11 16:03:15.050952,PLACED,Shimla,Assam
O00153778,C0003709,2024-09-28 03:39:53.050952,SHIPPED,Khora ,Maharashtra
O00013139,C0034506,2024-02-28 13:45:38.050952,SHIPPED,Aligarh,Telangana
O00077491,C0126788,2024-04-09 07:32:31.050952,PLACED,Junagadh,Punjab
O00022338,C0017245,2024-08-24 18:42:03.050952,DELIVERED,Ulhasnagar,Haryana
O00090008,C0158120,2025-04-03 20:05:50.050952,DELIVERED,Dehradun,Himachal Pradesh
O00145813,C0132042,2025-01-20 09:24:53.050952,SHIPPED,Nagpur,West Bengal
O00141075,C0140440,2025-04-27 21:42:40.050952,SHIPPED,Yamunanagar,Meghalaya
O00107466,C0183502,2024-02-15 11:38:31.050952,SHIPPED,Anantapur,Himachal Pradesh
O00142350,C0104816,2025-08-08 16:35:29.050952,PLACED,Shimla,Assam
O00115817,C0129044,2025-05-23 23:20:49.050952,RETURNED,Faridabad,Chhattisgarh
O00169714,C0063403,2025-04-12 21:58:33.050952,SHIPPED,Dhule,Andhra Pradesh
O00153828,C0177413,2025-11-08 17:35:53.050952,SHIPPED,Ballia,Himachal Pradesh
O00002187,C0196744,2024-11-11 11:41:35.221628,SHIPPED,Raurkela Industrial Township,
O00073720,C0030568,2024-12-14 00:55:08.050952,SHIPPED,South Dumdum,Tamil Nadu
O00024844,C0174637,2025-02-18 11:56:41.221628,RETURNED,Visakhapatnam,
O00108363,C0008373,2025-03-17 13:06:37.050952,SHIPPED,Gorakhpur,Andhra Pradesh
O00141987,C0193014,2024-05-19 15:03:15.050952,SHIPPED,Bangalore,Tripura
O00057027,C0000205,2025-03-24 23:48:03.050952,DELIVERED,Munger,Himachal Pradesh
O00132113,C0066367,2025-05-12 16:38:23.050952,SHIPPED,Tirupati,Meghalaya
O00093313,C0080837,2025-10-06 20:16:02.050952,PLACED,Tirunelveli,Kerala
O00072268,C0203950,2025-11-01 07:37:52.050952,DELIVERED,Dewas,Jharkhand
O00013205,C0150192,2023-12-15 06:48:33.221628,PLACED,Rohtak,Chhattisgarh
O00058245,C0098791,2024-10-28 16:59:29.050952,DELIVERED,Vadodara,Arunachal Pradesh
O00138808,C0145586,2024-03-13 20:35:03.050952,PLACED,Thrissur,Sikkim
O00101576,C0027129,2025-01-27 14:55:17.050952,SHIPPED,Hubli–Dharwad,Odisha
O00007556,C0186537,2026-01-19 17:43:37.869439,DELIVERED,Dindigul,Telangana
O00050078,C0018164,2024-07-06 12:02:30.050952,DELIVERED,Jammu,Haryana
O00140349,C0090127,2025-09-22 17:24:49.050952,DELIVERED,Tirunelveli,Sikkim
O00080480,C0005475,2024-11-23 17:53:38.050952,SHIPPED,Jamshedpur,Jharkhand
O00126171,C0101809,2025-07-25 02:04:36.050952,PLACED,Howrah,Assam
O00048275,C0037047,2024-06-01 09:49:10.050952,SHIPPED,Udaipur,Mizoram
O00167154,C0095679,2024-03-17 20:13:48.050952,SHIPPED,Ballia,Rajasthan
O00131512,C0141108,2025-02-16 01:01:17.050952,SHIPPED,Jamnagar,Uttar Pradesh
O00027801,C0052765,2025-06-27 22:19:23.050952,PLACED,Pali,Odisha
O00107121,C0070734,2025-06-24 18:29:12.050952,SHIPPED,Nadiad,Tripura
O00100118,C0089456,2024-07-30 22:01:32.050952,SHIPPED,Jalgaon,Jharkhand
O00061848,C0097241,2024-08-24 15:42:51.221628,SHIPPED,Mangalore,Himachal Pradesh
O00028127,C0205628,2025-03-30 05:50:58.050952,SHIPPED,Sasaram,Tripura
O00166008,C0047643,2024-11-24 22:56:39.050952,DELIVERED,Bangalore,Telangana
O00135050,C0150244,2024-10-22 06:25:57.050952,DELIVERED,Coimbatore,Gujarat
O00039771,C0065655,2024-11-29 02:45:26.050952,PLACED,Ajmer,Mizoram
O00158877,C0056354,2024-12-01 13:39:49.050952,PLACED,Jammu,Manipur
O00067450,C0118630,2024-01-02 01:54:04.050952,PLACED,Gangtok,Himachal Pradesh
O00172106,C0201816,2025-03-22 07:28:53.050952,SHIPPED,Bally,Himachal Pradesh
O00003774,C0106284,2025-10-15 21:51:40.050952,PLACED,Ghaziabad,Tamil Nadu
O00132375,C0071143,2024-09-14 16:10:22.050952,SHIPPED,Mysore,Kerala
O00073305,C0083050,2024-09-14 14:55:34.050952,DELIVERED,Patiala,Karnataka
O00139978,C0038184,2025-09-20 05:15:20.050952,SHIPPED,Davanagere,Tripura
O00139881,C0203241,2025-09-06 08:37:35.050952,DELIVERED,Katihar,Madhya Pradesh
O00119732,C0025484,2024-01-10 20:37:01.050952,PLACED,Rajkot,Tamil Nadu
O00093088,C0078077,2024-07-03 21:34:54.221628,SHIPPED,Satna,Jharkhand
O00008896,C0077936,2024-01-24 07:06:21.050952,SHIPPED,Mumbai,Telangana
O00000664,C0171094,2024-08-23 22:16:04.050952,PLACED,Panihati,Goa
O00028096,C0025742,2024-12-02 22:19:28.050952,SHIPPED,Suryapet,Chhattisgarh
O00049335,C0017909,2025-08-23 02:25:24.050952,DELIVERED,Gulbarga,Arunachal Pradesh
O00068386,C0152797,2024-10-15 02:13:03.050952,SHIPPED,Kalyan-Dombivli,Assam
O00070701,C0144365,2025-08-01 19:12:08.050952,DELIVERED,Anand,Punjab
O00010766,__ORPHAN__,2024-12-08 04:24:58.221628,PLACED,Bulandshahr,Sikkim
O00162811,C0022380,2024-07-09 02:25:56.050952,PLACED,Tadepalligudem,Goa
O00130597,C0152038,2024-06-05 05:03:37.050952,SHIPPED,Jalgaon,Madhya Pradesh
O00122162,C0148557,2025-09-18 15:13:02.050952,PLACED,Moradabad,Manipur
O00016409,__ORPHAN__,2024-12-21 17:14:20.221628,RETURNED,Kumbakonam,West Bengal
O00000809,C0151305,2023-12-20 18:40:53.050952,PLACED,Udupi,Madhya Pradesh
O00070394,C0120433,2025-07-02 08:41:11.050952,DELIVERED,Kirari Suleman Nagar,Himachal Pradesh
O00006371,C0204053,2025-03-10 02:29:44.050952,DELIVERED,Tiruppur,Meghalaya
O00045163,C0049199,2025-10-05 11:03:42.050952,DELIVERED,Jalna,Gujarat
O00154130,C0159883,2025-04-29 18:54:15.050952,SHIPPED,Jamalpur,Madhya Pradesh
O00057406,C0181866,2024-06-02 07:35:40.050952,SHIPPED,Ghaziabad,Arunachal Pradesh
O00044521,C0198172,2025-04-27 06:54:33.050952,SHIPPED,Bhimavaram,Sikkim
O00011264,C0129162,2025-02-07 11:32:56.050952,DELIVERED,Imphal,Uttarakhand
O00169975,C0194570,2024-02-22 13:30:08.050952,SHIPPED,Nagercoil,Meghalaya
O00103940,C0147475,2024-09-22 14:17:26.050952,SHIPPED,Tadipatri,Assam
O00145534,C0042337,2024-01-25 11:51:47.050952,SHIPPED,Dhanbad,Rajasthan
O00115057,C0164340,2024-09-07 00:48:24.050952,SHIPPED,Tiruchirappalli,Uttar Pradesh
O00145979,C0018809,2024-08-11 06:08:46.050952,SHIPPED,Bidar,Tamil Nadu
O00039161,C0183022,2024-07-29 10:12:02.221628,SHIPPED,Madhyamgram,Bihar
O00101310,C0204198,2025-02-24 19:09:08.050952,RETURNED,Parbhani,Tamil Nadu
O00016393,C0043146,2026-01-08 17:43:38.710963,RETURNED,Begusarai,Goa
O00096866,C0150866,2025-09-17 13:29:59.050952,SHIPPED,Bhilai,Telangana
O00022688,C0068996,2024-07-27 17:57:08.221628,DELIVERED,Moradabad,Tripura
O00010857,C0028315,2024-08-17 18:36:51.050952,DELIVERED,Pallavaram,Haryana
O00069950,C0172883,2025-07-03 15:55:38.050952,DELIVERED,Ghaziabad,West Bengal
O00053774,C0131198,2024-11-21 05:18:26.050952,SHIPPED,Anantapur,Jharkhand
O00051134,C0103980,2023-12-06 18:58:17.050952,DELIVERED,Panipat,Kerala
O00157024,C0202598,2024-03-19 17:26:31.050952,PLACED,Latur,Goa
O00006848,C0020838,2023-12-30 22:20:08.050952,DELIVERED,Khandwa,Odisha
O00106792,C0037011,2025-04-04 04:09:50.050952,SHIPPED,Bardhaman,Tripura
O00157158,C0078017,2025-09-17 08:38:11.221628,DELIVERED,Raurkela Industrial Township,Goa
O00080242,C0177282,2025-08-06 06:38:12.050952,DELIVERED,Cuttack,Rajasthan
O00070523,C0016113,2024-01-11 06:23:58.050952,SHIPPED,Dharmavaram,Punjab
O00162514,C0191128,2024-05-28 18:52:38.050952,SHIPPED,Vijayanagaram,Goa
O00061576,C0198829,2024-05-27 06:44:32.050952,RETURNED,Bikaner,Madhya Pradesh
O00136893,C0181914,2024-03-22 23:05:47.050952,PLACED,Bhavnagar,Kerala
O00030790,C0196405,2024-11-02 00:03:06.050952,DELIVERED,Raichur,Odisha
O00002212,C0050283,2024-12-26 23:21:53.050952,PLACED,Bhusawal,Jharkhand
O00122153,C0053626,2024-06-12 13:53:31.050952,PLACED,Amaravati,Odisha
O00049321,C0056311,2025-04-12 16:10:11.050952,PLACED,Anantapur,Nagaland
O00137216,C0158766,2025-08-08 14:44:14.050952,SHIPPED,Haldia,Arunachal Pradesh
O00051610,C0131933,2024-04-21 12:58:34.050952,DELIVERED,Alappuzha,Gujarat
O00055862,C0115013,2024-08-02 11:09:23.050952,DELIVERED,Bardhaman,Goa
O00093848,C0037292,2025-03-27 17:03:57.050952,DELIVERED,Bellary,Goa
O00093925,C0132807,2024-11-05 02:11:52.050952,PLACED,Bhind,Telangana
O00157602,C0138551,2024-02-02 18:31:56.050952,SHIPPED,Amroha,West Bengal
O00062697,C0168821,2025-07-19 10:34:47.050952,SHIPPED,Jaipur,Odisha
O00122958,C0167717,2025-11-01 02:32:26.050952,DELIVERED,Naihati,Nagaland
O00015393,__ORPHAN__,2024-07-07 20:39:33.221628,PLACED,Bidar,Tamil Nadu
O00072088,C0066399,2024-12-09 15:48:08.050952,SHIPPED,Ratlam,Andhra Pradesh
O00105036,C0001273,2025-09-16 18:24:32.050952,PLACED,Rajahmundry,Tamil Nadu
O00066227,C0203854,2024-12-26 06:20:16.050952,SHIPPED,Shivpuri,Tamil Nadu
O00129530,C0196710,2024-12-07 12:18:09.050952,SHIPPED,Jalandhar,Chhattisgarh
O00056637,C0145614,2024-12-29 13:06:55.050952,DELIVERED,Ujjain,Mizoram
O00020981,C0036755,2024-02-21 18:41:09.050952,PLACED,Dehri,Manipur
O00014846,C0141494,2025-06-15 16:57:08.050952,SHIPPED,Nizamabad,West Bengal
O00012414,C0206218,2025-12-18 17:43:38.287174,DELIVERED,Bettiah,Meghalaya
O00168998,C0186687,2025-11-25 04:28:54.050952,SHIPPED,Mango,Tripura
O00082091,C0040703,2024-08-19 16:24:07.050952,DELIVERED,Gopalpur,Kerala
O00054795,C0102337,2025-03-14 03:26:49.050952,DELIVERED,Danapur,Manipur
O00064752,C0192476,2024-03-28 14:40:51.050952,PLACED,Ambala,Bihar
O00031885,C0144431,2024-05-26 04:41:57.050952,RETURNED,Shivpuri,Himachal Pradesh
O00004940,C0127593,2026-03-14 17:43:37.645927,PLACED,Ujjain,Kerala
O00025677,C0066806,2024-12-19 00:00:01.221628,RETURNED,Tezpur,
O00154412,C0174875,2025-06-02 12:41:37.050952,SHIPPED,Nagaon,Goa
O00016146,__ORPHAN__,2025-05-08 05:50:19.221628,DELIVERED,Jabalpur,Tamil Nadu
O00145371,C0037774,2024-04-17 10:45:15.050952,SHIPPED,Hubli–Dharwad,Maharashtra
O00050865,C0105322,2025-01-18 10:54:21.221628,DELIVERED,Ujjain,Madhya Pradesh
O00024775,C0031577,2024-06-22 14:29:31.050952,SHIPPED,Satara,Manipur
O00156619,C0026296,2025-06-19 21:41:22.050952,SHIPPED,Chandrapur,Tripura
O00042218,C0176286,2024-11-16 13:51:47.050952,SHIPPED,Katihar,Sikkim
O00082243,C0019355,2024-01-14 07:52:11.050952,DELIVERED,Jalgaon,Haryana
O00116509,C0016438,2025-03-05 02:15:59.050952,PLACED,Tirunelveli,Assam
O00027022,C0134547,2024-01-07 11:44:39.050952,DELIVERED,Begusarai,Gujarat
O00151283,C0076483,2025-04-14 06:58:11.050952,SHIPPED,Jammu,Gujarat
O00009754,C0058071,2024-07-22 09:19:51.050952,PLACED,Darbhanga,Odisha
O00149487,C0073836,2024-02-28 19:06:21.050952,PLACED,Ajmer,Meghalaya
O00022120,C0131589,2024-04-19 21:01:25.221628,PLACED,Solapur,
O00005451,C0209611,2024-06-18 06:18:20.221628,RETURNED,Munger,
O00003502,__ORPHAN__,2024-08-04 05:51:37.221628,PLACED,Bulandshahr,Rajasthan
